rolls, Simulation Result, Math Result 
0, 0, 6.99800882395305e-213 
1, 0, 1.0886750977379856e-188 
2, 0, 5.714136606912269e-165 
3, 0, 1.0470540989404908e-141 
4, 0, 1.8687024032879028e-119 
5, 0, 1.16433335694624e-97 
6, 0, 2.447614750694703e-76 
7, 0, 3.3688001368478903e-65 
8, 0, 1.5455657671519937e-54 
9, 0, 2.363653092963696e-44 
10, 0, 9.845780009873119e-39 
11, 0, 1.3752956573353297e-33 
12, 0, 6.555496460956707e-29 
13, 0, 1.6015932873477768e-25 
14, 0, 2.1691551159266624e-22 
15, 0, 1.8262959000240345e-19 
16, 0, 1.0278568936924241e-16 
17, 0, 3.782471222776049e-14 
18, 0, 8.490065050616382e-12 
19, 0, 1.0756640154036044e-9 
20, 0, 7.412847593509591e-8 
21, 0, 0.000003453646661994688 
22, 0, 0.00010471880475818556 
23, 0.0024000000000000002, 0.0019667850276755775 
24, 0.021599999999999998, 0.02303228980786553 
25, 0.1808, 0.1755749245384576 
26, 0.9248, 0.9081094082038441 
27, 3.2912999999999997, 3.287134263574886 
28, 8.473600000000001, 8.50437642063898 
29, 15.975100000000001, 15.929898489620777 
30, 21.7766, 21.736120989960966 
31, 21.5848, 21.618291315430202 
32, 15.6162, 15.619961634992578 
33, 8.1047, 8.153055986368884 
34, 3.0573, 3.0534002818614963 
35, 0.8135999999999999, 0.8141384553388895 
36, 0.153, 0.15302475926940526 
37, 0.0215, 0.01995173153019209 
38, 0.0024000000000000002, 0.0017526270848916955 
39, 0.00030000000000000003, 0.00009820457484741304 
40, 0, 0.0000031413869723912177 
41, 0, 4.312410203950102e-8 
